customer_id,name,email,phone,address,registration_date,loyalty_status,cleaned_name,first_name,last_name,country,dialing_code,formatted_phone,customer_tier
67,Amy Hogan,perry60@example.org,991.372.1473,"5919 Daniel Coves Apt. 444, Williamsmouth, KY 47249",2025-03-18,Gold,Amy Hogan,Amy,Hogan,US,+1,+1991.372.1473,2
68,Christopher Adkins,patricia48@example.com,,"USNV Kennedy, FPO AA 06170",2024-09-19,Silver,Christopher Adkins,Christopher,Adkins,US,+1,+1nan,1
69,Lori Hernandez,meganeaton@example.org,(264)642-3645,"707 Reyes Expressway, Kristentown, NC 30977",2025-05-17,Bronze,Lori Hernandez,Lori,Hernandez,US,+1,+1(264)642-3645,0
70,Jessica Clark,ashley38@example.org,(532)265-7148x50790,"2245 Carrillo Gardens Suite 585, East Lisashire, WI 34517",2024-06-10,Bronze,Jessica Clark,Jessica,Clark,US,+1,+1(532)265-7148x50790,0
71,Patrick Gibson,ashleygarner@example.org,,"924 Riley Trail Suite 206, Lake Karenshire, RI 85236",2023-09-13,Gold,Patrick Gibson,Patrick,Gibson,US,+1,+1nan,2
72,Rhonda Turner,jcastillo@example.net,262-282-6863,"94652 Johnson Island Apt. 038, Amyfurt, MT 55181",2024-02-04,Silver,Rhonda Turner,Rhonda,Turner,US,+1,+1262-282-6863,1
73,Cristian Hendrix,robbinseric@example.org,782.207.8356x87597,"58535 Jasmine Course Suite 995, East Jason, RI 44789",2024-09-19,Silver,Cristian Hendrix,Cristian,Hendrix,US,+1,+1782.207.8356x87597,1
74,Tony Romero,,,"92893 Lopez Key Apt. 330, South Latasha, NJ 01621",2023-08-01,Gold,Tony Romero,Tony,Romero,US,+1,+1nan,2
75,Haley Jones,,282.685.2507x803,"43986 Frost Forge, East Michellemouth, FL 84797",2024-12-27,Gold,Haley Jones,Haley,Jones,US,+1,+1282.685.2507x803,2
76,Michelle Johnston,jscott@example.com,864.431.4933,"1516 Jason Cliff, West Stacyfurt, MD 62389",2024-05-10,Silver,Michelle Johnston,Michelle,Johnston,US,+1,+1864.431.4933,1
77,Charles Johnson,william74@example.net,+1-914-946-9236x263,"2768 Sara Bridge, Lake Christopherhaven, CA 18902",2024-02-18,Bronze,Charles Johnson,Charles,Johnson,CA,+1,+1+1-914-946-9236x263,0
78,Danielle Pitts,davisamber@example.com,(321)810-1320,"660 Molina Brook, Hannahmouth, AZ 65681",2023-12-13,Gold,Danielle Pitts,Danielle,Pitts,US,+1,+1(321)810-1320,2
79,William Morales,hubbardhannah@example.com,+1-898-676-4840x111,"1267 Jeremy Causeway Suite 700, Sydneychester, ND 06265",2023-12-13,Gold,William Morales,William,Morales,US,+1,+1+1-898-676-4840x111,2
80,Jason Hodge,brownamber@example.net,(367)929-2370x15823,"18212 Tyler Circles Apt. 059, Bruceport, AL 44586",2024-07-06,Bronze,Jason Hodge,Jason,Hodge,US,+1,+1(367)929-2370x15823,0
81,Charles Fitzgerald,nicole67@example.com,,"78180 Todd Loaf, Matthewbury, MO 31158",2025-01-16,Gold,Charles Fitzgerald,Charles,Fitzgerald,US,+1,+1nan,2
82,Kathy Wilson,devinvargas@example.com,001-511-620-4789x187,"879 Lee Underpass Apt. 893, Bradleyfort, AS 32761",2023-07-23,Gold,Kathy Wilson,Kathy,Wilson,US,+1,+1001-511-620-4789x187,2
83,Hector Reyes,youngkevin@example.net,(434)908-9249,"559 Jeff Harbor, Port Molly, TN 77372",2023-09-13,Gold,Hector Reyes,Hector,Reyes,US,+1,+1(434)908-9249,2
84,Tamara Lee,murrayjulie@example.com,(507)830-8293,"05734 Lester Bypass, Diamondmouth, GU 18366",2024-04-14,Gold,Tamara Lee,Tamara,Lee,US,+1,+1(507)830-8293,2
85,Joseph Potter,xhill@example.net,768.859.7622x8631,"801 Harrison Rue, Nicholasstad, TN 88446",2025-05-27,Bronze,Joseph Potter,Joseph,Potter,US,+1,+1768.859.7622x8631,0
86,Shawn Frost,bgaines@example.net,+1-939-448-8880x9087,"93770 Gabriel Harbor Suite 411, Kinghaven, MO 39887",2024-01-22,Gold,Shawn Frost,Shawn,Frost,US,+1,+1+1-939-448-8880x9087,2
87,John Hale,lambthomas@example.org,001-286-423-0786x78210,"668 Michael Keys Apt. 506, East Rachelland, OH 75480",2023-11-18,Silver,John Hale,John,Hale,US,+1,+1001-286-423-0786x78210,1
88,Rodney Cline,william79@example.org,634.656.1386x6444,"5978 Hopkins Highway Suite 577, Evanberg, MS 12159",2025-04-11,Gold,Rodney Cline,Rodney,Cline,US,+1,+1634.656.1386x6444,2
89,Megan Black,patelchristina@example.com,854.390.7388x204,"49958 Samuel Spring, New Brad, IL 86545",2024-01-06,Gold,Megan Black,Megan,Black,US,+1,+1854.390.7388x204,2
90,Hannah Rivera,mooredanielle@example.net,001-428-669-0354x77434,"78924 Wood Estates, Tranfurt, OK 30512",2024-05-31,Bronze,Hannah Rivera,Hannah,Rivera,US,+1,+1001-428-669-0354x77434,0
91,Chelsea Torres,brittney91@example.net,(519)638-7211,"42146 Valerie Hills Suite 077, Port Kevinbury, KY 02228",2023-11-26,Silver,Chelsea Torres,Chelsea,Torres,US,+1,+1(519)638-7211,1
92,Joseph Parks,kramertanya@example.org,433.877.3821x835,"19819 Daniel Road, Vasquezburgh, NE 21885",2024-06-23,Gold,Joseph Parks,Joseph,Parks,US,+1,+1433.877.3821x835,2
93,Johnny Bartlett,rebecca49@example.com,(687)406-7077,"399 John Meadows Apt. 352, Allisonburgh, NV 38488",2024-11-05,Bronze,Johnny Bartlett,Johnny,Bartlett,US,+1,+1(687)406-7077,0
94,Donald Black,patelchristina@example.com,(567)725-9662x2145,"346 Jenna Drives Suite 811, West Michaelburgh, VA 08959",2023-08-05,Gold,Donald Black,Donald,Black,US,+1,+1(567)725-9662x2145,2
95,Jacob Pratt,,001-571-489-8010x6124,"902 Christine Port, North Deanna, TN 03407",2024-07-02,Silver,Jacob Pratt,Jacob,Pratt,US,+1,+1001-571-489-8010x6124,1
96,Alicia Lindsey,caintroy@example.org,3885594310,"01648 Angela Mews, Herreraview, ID 07839",2024-05-30,Silver,Alicia Lindsey,Alicia,Lindsey,US,+1,+13885594310,1
97,Larry Johnston,hcrawford@example.org,431.658.4786x14225,"8080 Peterson Shoal Suite 974, Port Lisastad, TN 52028",2023-12-30,Gold,Larry Johnston,Larry,Johnston,US,+1,+1431.658.4786x14225,2
98,David Day,hullchristina@example.com,694-309-8585,"958 Randy Wall Suite 686, New Samuel, VA 24954",2023-10-22,Silver,David Day,David,Day,US,+1,+1694-309-8585,1
99,Sherri Moore,rodney64@example.org,875-899-0564x765,"0917 Harrison Drives Apt. 886, Dawsonmouth, NY 72448",2024-04-02,Silver,Sherri Moore,Sherri,Moore,US,+1,+1875-899-0564x765,1
100,Aaron Irwin,wdavis@example.org,+1-323-551-8227x44971,"4938 Natalie Coves Suite 528, Cookfurt, DC 27968",2024-06-15,Bronze,Aaron Irwin,Aaron,Irwin,US,+1,+1+1-323-551-8227x44971,0
101,Amy Graham,nicolehorton@example.net,8417222216,"236 Robert Mall, Stephaniemouth, ME 67219",2024-02-25,Bronze,Amy Graham,Amy,Graham,US,+1,+18417222216,0
102,Larry Hill,garrettrebecca@example.org,+1-451-702-3092x04311,"88672 Reyes Haven, Careyshire, MA 04184",2024-02-24,Bronze,Larry Hill,Larry,Hill,US,+1,+1+1-451-702-3092x04311,0
103,Lindsey Ruiz,yortiz@example.net,(846)306-2446x5873,"72026 Lisa Village Apt. 143, North James, NV 39337",2025-03-10,Bronze,Lindsey Ruiz,Lindsey,Ruiz,US,+1,+1(846)306-2446x5873,0
104,Jacob Williams,,437-254-2080x480,"Unit 8694 Box 6181, DPO AE 32297",2024-07-10,Silver,Jacob Williams,Jacob,Williams,US,+1,+1437-254-2080x480,1
105,Lisa Esparza,ygibson@example.org,492.583.1364x51387,"2544 Martinez Circles, Knightside, FM 55589",2025-01-13,Silver,Lisa Esparza,Lisa,Esparza,US,+1,+1492.583.1364x51387,1
106,Edward Williams,gjordan@example.com,(509)326-3595,"PSC 7243, Box 5927, APO AP 54983",2024-04-18,Bronze,Edward Williams,Edward,Williams,US,+1,+1(509)326-3595,0
107,Robert Mercado,edward39@example.net,306-569-9705,"80709 David Green, South Scottside, MP 10154",2023-11-21,Gold,Robert Mercado,Robert,Mercado,US,+1,+1306-569-9705,2
108,Derrick Reeves,john24@example.net,001-878-678-8236x74832,"6134 Henson Run, Sarabury, IN 41868",2023-09-04,Gold,Derrick Reeves,Derrick,Reeves,US,+1,+1001-878-678-8236x74832,2
109,Ana Singleton,butlerkrystal@example.org,987-865-3798x179,"9241 Chung Route, New Jamie, AZ 11340",2024-03-31,Silver,Ana Singleton,Ana,Singleton,US,+1,+1987-865-3798x179,1
110,Patricia Cooper,jose29@example.org,4053108673,"USNS Marshall, FPO AA 80867",2024-06-10,Silver,Patricia Cooper,Patricia,Cooper,US,+1,+14053108673,1
111,David Jones,asoto@example.com,001-363-832-4453x025,"9445 Wells Mall, Jameshaven, GA 03460",2023-10-11,Silver,David Jones,David,Jones,US,+1,+1001-363-832-4453x025,1
112,Mary Mccarthy,wongjacqueline@example.com,(841)757-3574,"3169 Smith Isle Apt. 669, Barbarabury, NY 47935",2025-04-24,Silver,Mary Mccarthy,Mary,Mccarthy,US,+1,+1(841)757-3574,1
113,Trevor Brown,kevin61@example.net,756-270-4520x868,"184 Cervantes Stravenue, Flowersside, AZ 54726",2024-05-27,Silver,Trevor Brown,Trevor,Brown,US,+1,+1756-270-4520x868,1
114,Donald Anderson,adrian29@example.net,(988)366-5946x29859,"332 James Villages Suite 009, Brandonbury, MD 10933",2023-12-11,Bronze,Donald Anderson,Donald,Anderson,US,+1,+1(988)366-5946x29859,0
115,Elizabeth Adkins,rodriguezmatthew@example.com,001-785-585-7339x3488,"7851 Ford Wells Apt. 473, Melissaport, PA 76864",2025-03-08,Bronze,Elizabeth Adkins,Elizabeth,Adkins,US,+1,+1001-785-585-7339x3488,0
116,Ashley Roman,browningkevin@example.net,9316567407,"43607 Rollins Junction Apt. 394, Benjaminstad, KS 29061",2023-08-21,Silver,Ashley Roman,Ashley,Roman,US,+1,+19316567407,1
117,Mathew Adams,spowell@example.net,647-577-0213x536,"1614 Joseph Ports Apt. 164, Richfurt, WY 68019",2024-11-28,Gold,Mathew Adams,Mathew,Adams,US,+1,+1647-577-0213x536,2
118,Kelli King,danielmunoz@example.net,909-945-6663,"244 Charles Greens, Lewisside, MA 77720",2025-03-19,Bronze,Kelli King,Kelli,King,US,+1,+1909-945-6663,0
119,Danielle Walker,durancharles@example.com,001-510-989-6321,"PSC 5987, Box 9196, APO AA 57791",2025-03-21,Silver,Danielle Walker,Danielle,Walker,US,+1,+1001-510-989-6321,1
120,Gina Whitaker,lneal@example.org,001-223-700-1400x1402,"USNV Freeman, FPO AE 36441",2025-04-04,Bronze,Gina Whitaker,Gina,Whitaker,US,+1,+1001-223-700-1400x1402,0
121,Mark Williams,nnelson@example.org,6498514840,"Unit 2752 Box 0172, DPO AP 69085",2025-05-18,Silver,Mark Williams,Mark,Williams,US,+1,+16498514840,1
122,Erika Rivera,mark70@example.net,001-922-688-1108x310,"601 Gray Hill Suite 171, Khanchester, AZ 67197",2025-01-17,Silver,Erika Rivera,Erika,Rivera,US,+1,+1001-922-688-1108x310,1
123,Courtney Best,kimberlyfoster@example.com,+1-465-545-5413x6770,"14979 Grace Vista Apt. 198, Muellerhaven, VI 36472",2024-09-19,Bronze,Courtney Best,Courtney,Best,US,+1,+1+1-465-545-5413x6770,0
124,Margaret Guzman,rebecca83@example.org,347.877.2094x610,"PSC 1325, Box 3038, APO AA 76351",2025-01-20,Bronze,Margaret Guzman,Margaret,Guzman,US,+1,+1347.877.2094x610,0
125,Chloe Hernandez,kathy77@example.org,430.327.3158,"732 Joseph Run, Port Lisa, NY 99367",2025-03-26,Bronze,Chloe Hernandez,Chloe,Hernandez,US,+1,+1430.327.3158,0
126,Sharon Alexander,huffgina@example.org,(323)350-9933x1907,"384 Victor Shores Suite 564, Richardfurt, AL 34767",2024-12-04,Gold,Sharon Alexander,Sharon,Alexander,US,+1,+1(323)350-9933x1907,2
127,Kevin Lee,michael46@example.org,320.222.6399x0981,"62068 Sabrina Station, Alexanderfort, NY 53764",2024-04-04,Gold,Kevin Lee,Kevin,Lee,US,+1,+1320.222.6399x0981,2
128,Taylor Randall,evansjohn@example.org,(546)452-4574x407,"PSC 8994, Box 2730, APO AE 49954",2025-03-23,Silver,Taylor Randall,Taylor,Randall,US,+1,+1(546)452-4574x407,1
129,Nathan Pearson,williamsjoel@example.org,,"47087 Douglas Ports, Austinchester, TN 99409",2023-09-08,Bronze,Nathan Pearson,Nathan,Pearson,US,+1,+1nan,0
130,Linda Gregory,chambersnatalie@example.net,853.409.0845x3162,"686 Tanya Mews, South Erin, IA 31132",2025-02-14,Silver,Linda Gregory,Linda,Gregory,US,+1,+1853.409.0845x3162,1
131,Richard Robinson,rebeccaanderson@example.com,+1-964-604-0161x1515,"9264 Cheryl Village, Waynechester, CT 55686",2024-02-12,Silver,Richard Robinson,Richard,Robinson,US,+1,+1+1-964-604-0161x1515,1
132,Samantha Lewis,powersbradley@example.net,509-511-5194,"9399 Schmidt Throughway, East Dawn, MD 81036",2024-03-25,Silver,Samantha Lewis,Samantha,Lewis,US,+1,+1509-511-5194,1
133,Elizabeth Williams MD,josephbrown@example.net,001-280-546-5785,"384 Robert Square Suite 381, Port Andreaview, CO 87710",2025-03-28,Gold,Elizabeth Williams MD,Elizabeth,Williams MD,US,+1,+1001-280-546-5785,2
134,Travis Maxwell,usilva@example.org,(823)928-3299,"814 Leonard Heights Suite 939, Lake Davidchester, WA 94885",2024-10-21,Silver,Travis Maxwell,Travis,Maxwell,US,+1,+1(823)928-3299,1
135,Alexandra Clements,pcruz@example.org,495.283.8204,"60614 Morton Fields, Stephanieview, OH 80343",2024-09-09,Gold,Alexandra Clements,Alexandra,Clements,US,+1,+1495.283.8204,2
136,Mark Owen,carlafry@example.org,+1-844-358-6762x043,"83372 Parker Squares, Glennshire, NC 56917",2025-06-15,Gold,Mark Owen,Mark,Owen,US,+1,+1+1-844-358-6762x043,2
